gene_ID_or_name,ref,chr,Ensemble_transcript_strand,coordinate,type
ENSMUST00000178466,ensembl_GRCm39_latest,JH584296.1,-1,44415,end_of_ATG
ENSMUST00000178466,ensembl_GRCm39_latest,JH584296.1,-1,41340,start_of_STOP
ENSMUST00000097490,ensembl_GRCm39_latest,JH584299.1,1,4977,end_of_ATG
ENSMUST00000097490,ensembl_GRCm39_latest,JH584299.1,1,7354,start_of_STOP
ENSMUST00000179124,ensembl_GRCm39_latest,GL456211.1,-1,54838,end_of_ATG
ENSMUST00000179124,ensembl_GRCm39_latest,GL456211.1,-1,54471,start_of_STOP
ENSMUST00000179436,ensembl_GRCm39_latest,JH584295.1,-1,1477,end_of_ATG
ENSMUST00000179436,ensembl_GRCm39_latest,JH584295.1,-1,68,start_of_STOP
ENSMUST00000177979,ensembl_GRCm39_latest,GL456219.1,-1,150161,end_of_ATG
ENSMUST00000177979,ensembl_GRCm39_latest,GL456219.1,-1,149263,start_of_STOP
ENSMUST00000180291,ensembl_GRCm39_latest,JH584298.1,1,90530,end_of_ATG
ENSMUST00000180291,ensembl_GRCm39_latest,JH584298.1,1,93621,start_of_STOP
ENSMUST00000177562,ensembl_GRCm39_latest,GL456210.1,-1,110301,end_of_ATG
ENSMUST00000177562,ensembl_GRCm39_latest,GL456210.1,-1,108392,start_of_STOP
ENSMUST00000177853,ensembl_GRCm39_latest,JH584297.1,1,31103,end_of_ATG
ENSMUST00000177853,ensembl_GRCm39_latest,JH584297.1,1,33665,start_of_STOP
ENSMUST00000177991,ensembl_GRCm39_latest,JH584296.1,-1,133446,end_of_ATG
ENSMUST00000177991,ensembl_GRCm39_latest,JH584296.1,-1,130717,start_of_STOP
ENSMUST00000179890,ensembl_GRCm39_latest,GL456211.1,1,66957,end_of_ATG
ENSMUST00000179890,ensembl_GRCm39_latest,GL456211.1,1,67324,start_of_STOP
ENSMUST00000111364,ensembl_GRCm39_latest,GL456210.1,1,123794,end_of_ATG
ENSMUST00000111364,ensembl_GRCm39_latest,GL456210.1,1,124926,start_of_STOP
ENSMUST00000178335,ensembl_GRCm39_latest,JH584296.1,-1,197901,end_of_ATG
ENSMUST00000178335,ensembl_GRCm39_latest,JH584296.1,-1,195183,start_of_STOP
ENSMUST00000179146,ensembl_GRCm39_latest,JH584298.1,-1,170836,end_of_ATG
ENSMUST00000179146,ensembl_GRCm39_latest,JH584298.1,-1,168270,start_of_STOP
ENSMUST00000178343,ensembl_GRCm39_latest,JH584304.1,-1,58614,end_of_ATG
ENSMUST00000178343,ensembl_GRCm39_latest,JH584304.1,-1,55482,start_of_STOP
ENSMUST00000178603,ensembl_GRCm39_latest,GL456211.1,-1,162402,end_of_ATG
ENSMUST00000178603,ensembl_GRCm39_latest,GL456211.1,-1,160467,start_of_STOP
ENSMUST00000115931,ensembl_GRCm39_latest,GL456210.1,-1,136517,end_of_ATG
ENSMUST00000115931,ensembl_GRCm39_latest,GL456210.1,-1,135397,start_of_STOP
ENSMUST00000168953,ensembl_GRCm39_latest,JH584299.1,1,90484,end_of_ATG
ENSMUST00000168953,ensembl_GRCm39_latest,JH584299.1,1,93218,start_of_STOP
ENSMUST00000177719,ensembl_GRCm39_latest,JH584297.1,-1,111390,end_of_ATG
ENSMUST00000177719,ensembl_GRCm39_latest,JH584297.1,-1,108320,start_of_STOP
ENSMUST00000115924,ensembl_GRCm39_latest,GL456212.1,-1,147686,end_of_ATG
ENSMUST00000115924,ensembl_GRCm39_latest,GL456212.1,-1,128949,start_of_STOP
ENSMUST00000177668,ensembl_GRCm39_latest,JH584298.1,1,179695,end_of_ATG
ENSMUST00000177668,ensembl_GRCm39_latest,JH584298.1,1,182201,start_of_STOP
ENSMUST00000115928,ensembl_GRCm39_latest,GL456210.1,1,147794,end_of_ATG
ENSMUST00000115928,ensembl_GRCm39_latest,GL456210.1,1,149705,start_of_STOP
ENSMUST00000111360,ensembl_GRCm39_latest,GL456211.1,1,167959,end_of_ATG
ENSMUST00000111360,ensembl_GRCm39_latest,GL456211.1,1,196306,start_of_STOP
ENSMUST00000177582,ensembl_GRCm39_latest,JH584299.1,1,173052,end_of_ATG
ENSMUST00000177582,ensembl_GRCm39_latest,JH584299.1,1,176132,start_of_STOP
ENSMUST00000178645,ensembl_GRCm39_latest,GL456211.1,-1,229373,end_of_ATG
ENSMUST00000178645,ensembl_GRCm39_latest,GL456211.1,-1,226407,start_of_STOP
ENSMUST00000179677,ensembl_GRCm39_latest,JH584299.1,1,314843,end_of_ATG
ENSMUST00000179677,ensembl_GRCm39_latest,JH584299.1,1,317582,start_of_STOP
ENSMUST00000178337,ensembl_GRCm39_latest,JH584299.1,1,477248,end_of_ATG
ENSMUST00000178337,ensembl_GRCm39_latest,JH584299.1,1,480329,start_of_STOP
ENSMUST00000177843,ensembl_GRCm39_latest,JH584299.1,1,562163,end_of_ATG
ENSMUST00000177843,ensembl_GRCm39_latest,JH584299.1,1,564892,start_of_STOP
ENSMUST00000179700,ensembl_GRCm39_latest,JH584299.1,1,621888,end_of_ATG
ENSMUST00000179700,ensembl_GRCm39_latest,JH584299.1,1,624265,start_of_STOP
ENSMUST00000165454,ensembl_GRCm39_latest,JH584299.1,1,716298,end_of_ATG
ENSMUST00000165454,ensembl_GRCm39_latest,JH584299.1,1,720515,start_of_STOP
ENSMUST00000178318,ensembl_GRCm39_latest,JH584299.1,1,806212,end_of_ATG
ENSMUST00000178318,ensembl_GRCm39_latest,JH584299.1,1,809279,start_of_STOP
ENSMUST00000180303,ensembl_GRCm39_latest,JH584299.1,1,837366,end_of_ATG
ENSMUST00000180303,ensembl_GRCm39_latest,JH584299.1,1,840449,start_of_STOP
ENSMUST00000180208,ensembl_GRCm39_latest,JH584299.1,-1,913081,end_of_ATG
ENSMUST00000180208,ensembl_GRCm39_latest,JH584299.1,-1,910291,start_of_STOP
ENSMUST00000178327,ensembl_GRCm39_latest,JH584299.1,1,921944,end_of_ATG
ENSMUST00000178327,ensembl_GRCm39_latest,JH584299.1,1,924673,start_of_STOP
ENSMUST00000178291,ensembl_GRCm39_latest,GL456354.1,1,6368,end_of_ATG
ENSMUST00000178291,ensembl_GRCm39_latest,GL456354.1,1,8937,start_of_STOP
ENSMUST00000099245,ensembl_GRCm39_latest,GL456354.1,-1,27228,end_of_ATG
ENSMUST00000099245,ensembl_GRCm39_latest,GL456354.1,-1,25925,start_of_STOP
ENSMUST00000111423,ensembl_GRCm39_latest,GL456221.1,-1,27526,end_of_ATG
ENSMUST00000111423,ensembl_GRCm39_latest,GL456221.1,-1,18171,start_of_STOP
ENSMUST00000178199,ensembl_GRCm39_latest,GL456221.1,-1,32304,end_of_ATG
ENSMUST00000178199,ensembl_GRCm39_latest,GL456221.1,-1,30396,start_of_STOP
ENSMUST00000178309,ensembl_GRCm39_latest,GL456221.1,1,32241,end_of_ATG
ENSMUST00000178309,ensembl_GRCm39_latest,GL456221.1,1,47292,start_of_STOP
ENSMUST00000179140,ensembl_GRCm39_latest,GL456354.1,-1,86049,end_of_ATG
ENSMUST00000179140,ensembl_GRCm39_latest,GL456354.1,-1,82995,start_of_STOP
ENSMUST00000179292,ensembl_GRCm39_latest,GL456221.1,-1,46664,end_of_ATG
ENSMUST00000179292,ensembl_GRCm39_latest,GL456221.1,-1,46297,start_of_STOP
ENSMUST00000179972,ensembl_GRCm39_latest,GL456354.1,-1,149657,end_of_ATG
ENSMUST00000179972,ensembl_GRCm39_latest,GL456354.1,-1,146928,start_of_STOP
ENSMUST00000180119,ensembl_GRCm39_latest,GL456221.1,1,58745,end_of_ATG
ENSMUST00000180119,ensembl_GRCm39_latest,GL456221.1,1,59112,start_of_STOP
ENSMUST00000078827,ensembl_GRCm39_latest,GL456221.1,-1,114051,end_of_ATG
ENSMUST00000078827,ensembl_GRCm39_latest,GL456221.1,-1,113165,start_of_STOP
ENSMUST00000178296,ensembl_GRCm39_latest,GL456354.1,1,158545,end_of_ATG
ENSMUST00000178296,ensembl_GRCm39_latest,GL456354.1,1,161337,start_of_STOP
ENSMUST00000177921,ensembl_GRCm39_latest,GL456221.1,1,151237,end_of_ATG
ENSMUST00000177921,ensembl_GRCm39_latest,GL456221.1,1,152732,start_of_STOP
ENSMUST00000187846,ensembl_GRCm39_latest,Y,1,68550743,end_of_ATG
ENSMUST00000187846,ensembl_GRCm39_latest,Y,1,68551422,start_of_STOP
ENSMUST00000191123,ensembl_GRCm39_latest,Y,-1,68842573,end_of_ATG
ENSMUST00000191123,ensembl_GRCm39_latest,Y,-1,68818063,start_of_STOP
ENSMUST00000190946,ensembl_GRCm39_latest,Y,-1,31588676,end_of_ATG
ENSMUST00000190946,ensembl_GRCm39_latest,Y,-1,31558274,start_of_STOP
ENSMUST00000195574,ensembl_GRCm39_latest,Y,1,69334084,end_of_ATG
ENSMUST00000195574,ensembl_GRCm39_latest,Y,1,69334610,start_of_STOP
ENSMUST00000189577,ensembl_GRCm39_latest,Y,-1,32574363,end_of_ATG
ENSMUST00000189577,ensembl_GRCm39_latest,Y,-1,32543961,start_of_STOP
ENSMUST00000188554,ensembl_GRCm39_latest,Y,-1,70024501,end_of_ATG
ENSMUST00000188554,ensembl_GRCm39_latest,Y,-1,70023975,start_of_STOP
ENSMUST00000189003,ensembl_GRCm39_latest,Y,-1,70312941,end_of_ATG
ENSMUST00000189003,ensembl_GRCm39_latest,Y,-1,70312370,start_of_STOP
ENSMUST00000187418,ensembl_GRCm39_latest,Y,-1,70283391,end_of_ATG
ENSMUST00000187418,ensembl_GRCm39_latest,Y,-1,70282712,start_of_STOP
ENSMUST00000189006,ensembl_GRCm39_latest,Y,-1,70314440,end_of_ATG
ENSMUST00000189006,ensembl_GRCm39_latest,Y,-1,70304712,start_of_STOP
ENSMUST00000187712,ensembl_GRCm39_latest,Y,-1,33497088,end_of_ATG
ENSMUST00000187712,ensembl_GRCm39_latest,Y,-1,33466667,start_of_STOP
ENSMUST00000186890,ensembl_GRCm39_latest,Y,1,70454576,end_of_ATG
ENSMUST00000186890,ensembl_GRCm39_latest,Y,1,70479233,start_of_STOP
ENSMUST00000188958,ensembl_GRCm39_latest,Y,1,71482147,end_of_ATG
ENSMUST00000188958,ensembl_GRCm39_latest,Y,1,71506702,start_of_STOP
ENSMUST00000189315,ensembl_GRCm39_latest,Y,1,71704738,end_of_ATG
ENSMUST00000189315,ensembl_GRCm39_latest,Y,1,71729298,start_of_STOP
ENSMUST00000186996,ensembl_GRCm39_latest,Y,-1,35085756,end_of_ATG
ENSMUST00000186996,ensembl_GRCm39_latest,Y,-1,35061228,start_of_STOP
ENSMUST00000191305,ensembl_GRCm39_latest,Y,-1,72256965,end_of_ATG
ENSMUST00000191305,ensembl_GRCm39_latest,Y,-1,72232332,start_of_STOP
ENSMUST00000188585,ensembl_GRCm39_latest,Y,-1,35875449,end_of_ATG
ENSMUST00000188585,ensembl_GRCm39_latest,Y,-1,35850872,start_of_STOP
ENSMUST00000189346,ensembl_GRCm39_latest,Y,1,73682005,end_of_ATG
ENSMUST00000189346,ensembl_GRCm39_latest,Y,1,73706557,start_of_STOP
ENSMUST00000185565,ensembl_GRCm39_latest,Y,-1,36689211,end_of_ATG
ENSMUST00000185565,ensembl_GRCm39_latest,Y,-1,36664641,start_of_STOP
ENSMUST00000189924,ensembl_GRCm39_latest,Y,1,74483223,end_of_ATG
ENSMUST00000189924,ensembl_GRCm39_latest,Y,1,74508030,start_of_STOP
ENSMUST00000190782,ensembl_GRCm39_latest,Y,-1,37213524,end_of_ATG
ENSMUST00000190782,ensembl_GRCm39_latest,Y,-1,37188963,start_of_STOP
ENSMUST00000179880,ensembl_GRCm39_latest,Y,1,74635167,end_of_ATG
ENSMUST00000179880,ensembl_GRCm39_latest,Y,1,74636245,start_of_STOP
ENSMUST00000177666,ensembl_GRCm39_latest,Y,1,37914674,end_of_ATG
ENSMUST00000177666,ensembl_GRCm39_latest,Y,1,37915353,start_of_STOP
ENSMUST00000190173,ensembl_GRCm39_latest,Y,1,75208553,end_of_ATG
ENSMUST00000190173,ensembl_GRCm39_latest,Y,1,75233130,start_of_STOP
ENSMUST00000188672,ensembl_GRCm39_latest,Y,1,75728017,end_of_ATG
ENSMUST00000188672,ensembl_GRCm39_latest,Y,1,75752619,start_of_STOP
ENSMUST00000185240,ensembl_GRCm39_latest,Y,-1,38456158,end_of_ATG
ENSMUST00000185240,ensembl_GRCm39_latest,Y,-1,38431604,start_of_STOP
ENSMUST00000177676,ensembl_GRCm39_latest,Y,1,76389933,end_of_ATG
ENSMUST00000177676,ensembl_GRCm39_latest,Y,1,76391011,start_of_STOP
ENSMUST00000189238,ensembl_GRCm39_latest,Y,1,76774293,end_of_ATG
ENSMUST00000189238,ensembl_GRCm39_latest,Y,1,76798800,start_of_STOP
ENSMUST00000191443,ensembl_GRCm39_latest,Y,-1,40270803,end_of_ATG
ENSMUST00000191443,ensembl_GRCm39_latest,Y,-1,40246333,start_of_STOP
ENSMUST00000178332,ensembl_GRCm39_latest,Y,-1,40336866,end_of_ATG
ENSMUST00000178332,ensembl_GRCm39_latest,Y,-1,40335788,start_of_STOP
ENSMUST00000190551,ensembl_GRCm39_latest,Y,1,77705503,end_of_ATG
ENSMUST00000190551,ensembl_GRCm39_latest,Y,1,77730109,start_of_STOP
ENSMUST00000190987,ensembl_GRCm39_latest,Y,-1,77972957,end_of_ATG
ENSMUST00000190987,ensembl_GRCm39_latest,Y,-1,77972278,start_of_STOP
ENSMUST00000177579,ensembl_GRCm39_latest,Y,-1,40731108,end_of_ATG
ENSMUST00000177579,ensembl_GRCm39_latest,Y,-1,40730570,start_of_STOP
ENSMUST00000185575,ensembl_GRCm39_latest,Y,1,78225687,end_of_ATG
ENSMUST00000185575,ensembl_GRCm39_latest,Y,1,78250260,start_of_STOP
ENSMUST00000190909,ensembl_GRCm39_latest,Y,1,40761878,end_of_ATG
ENSMUST00000190909,ensembl_GRCm39_latest,Y,1,40762572,start_of_STOP
ENSMUST00000178559,ensembl_GRCm39_latest,Y,1,41361845,end_of_ATG
ENSMUST00000178559,ensembl_GRCm39_latest,Y,1,41362383,start_of_STOP
ENSMUST00000190349,ensembl_GRCm39_latest,Y,-1,78847810,end_of_ATG
ENSMUST00000190349,ensembl_GRCm39_latest,Y,-1,78847131,start_of_STOP
ENSMUST00000188706,ensembl_GRCm39_latest,Y,-1,79160878,end_of_ATG
ENSMUST00000188706,ensembl_GRCm39_latest,Y,-1,79160199,start_of_STOP
ENSMUST00000190453,ensembl_GRCm39_latest,Y,-1,42536178,end_of_ATG
ENSMUST00000190453,ensembl_GRCm39_latest,Y,-1,42505635,start_of_STOP
ENSMUST00000185338,ensembl_GRCm39_latest,Y,1,79332259,end_of_ATG
ENSMUST00000185338,ensembl_GRCm39_latest,Y,1,79356778,start_of_STOP
ENSMUST00000187433,ensembl_GRCm39_latest,Y,1,80146472,end_of_ATG
ENSMUST00000187433,ensembl_GRCm39_latest,Y,1,80171046,start_of_STOP
ENSMUST00000188917,ensembl_GRCm39_latest,Y,-1,44218368,end_of_ATG
ENSMUST00000188917,ensembl_GRCm39_latest,Y,-1,44187676,start_of_STOP
ENSMUST00000185340,ensembl_GRCm39_latest,Y,1,80939689,end_of_ATG
ENSMUST00000185340,ensembl_GRCm39_latest,Y,1,80964329,start_of_STOP
ENSMUST00000187135,ensembl_GRCm39_latest,Y,1,81470700,end_of_ATG
ENSMUST00000187135,ensembl_GRCm39_latest,Y,1,81495157,start_of_STOP
ENSMUST00000185636,ensembl_GRCm39_latest,Y,1,82237920,end_of_ATG
ENSMUST00000185636,ensembl_GRCm39_latest,Y,1,82262490,start_of_STOP
ENSMUST00000187165,ensembl_GRCm39_latest,Y,1,83043640,end_of_ATG
ENSMUST00000187165,ensembl_GRCm39_latest,Y,1,83068372,start_of_STOP
ENSMUST00000188881,ensembl_GRCm39_latest,Y,1,47456996,end_of_ATG
ENSMUST00000188881,ensembl_GRCm39_latest,Y,1,47487392,start_of_STOP
ENSMUST00000189765,ensembl_GRCm39_latest,Y,1,48317888,end_of_ATG
ENSMUST00000189765,ensembl_GRCm39_latest,Y,1,48348274,start_of_STOP
ENSMUST00000185776,ensembl_GRCm39_latest,Y,1,84109973,end_of_ATG
ENSMUST00000185776,ensembl_GRCm39_latest,Y,1,84134565,start_of_STOP
ENSMUST00000189463,ensembl_GRCm39_latest,Y,-1,84574661,end_of_ATG
ENSMUST00000189463,ensembl_GRCm39_latest,Y,-1,84573982,start_of_STOP
ENSMUST00000185924,ensembl_GRCm39_latest,Y,1,48862530,end_of_ATG
ENSMUST00000185924,ensembl_GRCm39_latest,Y,1,48887028,start_of_STOP
ENSMUST00000186110,ensembl_GRCm39_latest,Y,1,84759378,end_of_ATG
ENSMUST00000186110,ensembl_GRCm39_latest,Y,1,84783973,start_of_STOP
ENSMUST00000189354,ensembl_GRCm39_latest,Y,1,49569160,end_of_ATG
ENSMUST00000189354,ensembl_GRCm39_latest,Y,1,49593807,start_of_STOP
ENSMUST00000181549,ensembl_GRCm39_latest,Y,-1,85540610,end_of_ATG
ENSMUST00000181549,ensembl_GRCm39_latest,Y,-1,85539931,start_of_STOP
ENSMUST00000187033,ensembl_GRCm39_latest,Y,1,50093871,end_of_ATG
ENSMUST00000187033,ensembl_GRCm39_latest,Y,1,50118511,start_of_STOP
ENSMUST00000188754,ensembl_GRCm39_latest,Y,1,86074465,end_of_ATG
ENSMUST00000188754,ensembl_GRCm39_latest,Y,1,86099025,start_of_STOP
ENSMUST00000185245,ensembl_GRCm39_latest,Y,1,50606256,end_of_ATG
ENSMUST00000185245,ensembl_GRCm39_latest,Y,1,50630843,start_of_STOP
ENSMUST00000185327,ensembl_GRCm39_latest,Y,1,51123227,end_of_ATG
ENSMUST00000185327,ensembl_GRCm39_latest,Y,1,51147863,start_of_STOP
ENSMUST00000189543,ensembl_GRCm39_latest,Y,1,87129517,end_of_ATG
ENSMUST00000189543,ensembl_GRCm39_latest,Y,1,87153987,start_of_STOP
ENSMUST00000186493,ensembl_GRCm39_latest,Y,1,87563664,end_of_ATG
ENSMUST00000186493,ensembl_GRCm39_latest,Y,1,87586762,start_of_STOP
ENSMUST00000187477,ensembl_GRCm39_latest,Y,1,51850125,end_of_ATG
ENSMUST00000187477,ensembl_GRCm39_latest,Y,1,51874682,start_of_STOP
ENSMUST00000187146,ensembl_GRCm39_latest,Y,1,88066009,end_of_ATG
ENSMUST00000187146,ensembl_GRCm39_latest,Y,1,88090564,start_of_STOP
ENSMUST00000186443,ensembl_GRCm39_latest,Y,1,89065515,end_of_ATG
ENSMUST00000186443,ensembl_GRCm39_latest,Y,1,89090090,start_of_STOP
ENSMUST00000191553,ensembl_GRCm39_latest,Y,1,52778043,end_of_ATG
ENSMUST00000191553,ensembl_GRCm39_latest,Y,1,52802635,start_of_STOP
ENSMUST00000188269,ensembl_GRCm39_latest,Y,-1,89755378,end_of_ATG
ENSMUST00000188269,ensembl_GRCm39_latest,Y,-1,89724899,start_of_STOP
ENSMUST00000187856,ensembl_GRCm39_latest,Y,-1,53413352,end_of_ATG
ENSMUST00000187856,ensembl_GRCm39_latest,Y,-1,53412673,start_of_STOP
ENSMUST00000190558,ensembl_GRCm39_latest,Y,1,90413950,end_of_ATG
ENSMUST00000190558,ensembl_GRCm39_latest,Y,1,90444326,start_of_STOP
ENSMUST00000186578,ensembl_GRCm39_latest,Y,1,53841949,end_of_ATG
ENSMUST00000186578,ensembl_GRCm39_latest,Y,1,53866531,start_of_STOP
ENSMUST00000179623,ensembl_GRCm39_latest,Y,-1,90850444,end_of_ATG
ENSMUST00000179623,ensembl_GRCm39_latest,Y,-1,90850140,start_of_STOP
ENSMUST00000187293,ensembl_GRCm39_latest,Y,1,55211725,end_of_ATG
ENSMUST00000187293,ensembl_GRCm39_latest,Y,1,55236253,start_of_STOP
ENSMUST00000185713,ensembl_GRCm39_latest,Y,1,55729760,end_of_ATG
ENSMUST00000185713,ensembl_GRCm39_latest,Y,1,55754289,start_of_STOP
ENSMUST00000190292,ensembl_GRCm39_latest,Y,1,57197161,end_of_ATG
ENSMUST00000190292,ensembl_GRCm39_latest,Y,1,57221693,start_of_STOP
ENSMUST00000178181,ensembl_GRCm39_latest,Y,-1,57540765,end_of_ATG
ENSMUST00000178181,ensembl_GRCm39_latest,Y,-1,57540086,start_of_STOP
ENSMUST00000190573,ensembl_GRCm39_latest,Y,1,57715650,end_of_ATG
ENSMUST00000190573,ensembl_GRCm39_latest,Y,1,57740262,start_of_STOP
ENSMUST00000190806,ensembl_GRCm39_latest,Y,-1,58821700,end_of_ATG
ENSMUST00000190806,ensembl_GRCm39_latest,Y,-1,58791301,start_of_STOP
ENSMUST00000189333,ensembl_GRCm39_latest,Y,1,60251156,end_of_ATG
ENSMUST00000189333,ensembl_GRCm39_latest,Y,1,60281576,start_of_STOP
ENSMUST00000188244,ensembl_GRCm39_latest,Y,1,61112199,end_of_ATG
ENSMUST00000188244,ensembl_GRCm39_latest,Y,1,61142581,start_of_STOP
ENSMUST00000189455,ensembl_GRCm39_latest,Y,1,61656698,end_of_ATG
ENSMUST00000189455,ensembl_GRCm39_latest,Y,1,61681195,start_of_STOP
ENSMUST00000186938,ensembl_GRCm39_latest,Y,1,62200819,end_of_ATG
ENSMUST00000186938,ensembl_GRCm39_latest,Y,1,62225468,start_of_STOP
ENSMUST00000179949,ensembl_GRCm39_latest,Y,-1,62471854,end_of_ATG
ENSMUST00000179949,ensembl_GRCm39_latest,Y,-1,62471175,start_of_STOP
ENSMUST00000187768,ensembl_GRCm39_latest,Y,1,63238390,end_of_ATG
ENSMUST00000187768,ensembl_GRCm39_latest,Y,1,63262979,start_of_STOP
ENSMUST00000186004,ensembl_GRCm39_latest,Y,1,64483220,end_of_ATG
ENSMUST00000186004,ensembl_GRCm39_latest,Y,1,64507783,start_of_STOP
ENSMUST00000186910,ensembl_GRCm39_latest,Y,-1,65214534,end_of_ATG
ENSMUST00000186910,ensembl_GRCm39_latest,Y,-1,65213855,start_of_STOP
ENSMUST00000185550,ensembl_GRCm39_latest,Y,1,65387654,end_of_ATG
ENSMUST00000185550,ensembl_GRCm39_latest,Y,1,65412247,start_of_STOP
ENSMUST00000188011,ensembl_GRCm39_latest,Y,-1,66751877,end_of_ATG
ENSMUST00000188011,ensembl_GRCm39_latest,Y,-1,66751198,start_of_STOP
ENSMUST00000190565,ensembl_GRCm39_latest,Y,-1,67057833,end_of_ATG
ENSMUST00000190565,ensembl_GRCm39_latest,Y,-1,67057154,start_of_STOP
ENSMUST00000189422,ensembl_GRCm39_latest,Y,-1,68304746,end_of_ATG
ENSMUST00000189422,ensembl_GRCm39_latest,Y,-1,68280118,start_of_STOP
ENSMUST00000192521,ensembl_GRCm39_latest,Y,-1,22045409,end_of_ATG
ENSMUST00000192521,ensembl_GRCm39_latest,Y,-1,22020841,start_of_STOP
ENSMUST00000192892,ensembl_GRCm39_latest,Y,-1,22855312,end_of_ATG
ENSMUST00000192892,ensembl_GRCm39_latest,Y,-1,22830764,start_of_STOP
ENSMUST00000187943,ensembl_GRCm39_latest,Y,1,24411929,end_of_ATG
ENSMUST00000187943,ensembl_GRCm39_latest,Y,1,24412608,start_of_STOP
ENSMUST00000180040,ensembl_GRCm39_latest,Y,-1,24751586,end_of_ATG
ENSMUST00000180040,ensembl_GRCm39_latest,Y,-1,24750508,start_of_STOP
ENSMUST00000179355,ensembl_GRCm39_latest,Y,-1,25264703,end_of_ATG
ENSMUST00000179355,ensembl_GRCm39_latest,Y,-1,25263625,start_of_STOP
ENSMUST00000189518,ensembl_GRCm39_latest,Y,-1,26730719,end_of_ATG
ENSMUST00000189518,ensembl_GRCm39_latest,Y,-1,26706148,start_of_STOP
ENSMUST00000188744,ensembl_GRCm39_latest,Y,-1,27475840,end_of_ATG
ENSMUST00000188744,ensembl_GRCm39_latest,Y,-1,27451269,start_of_STOP
ENSMUST00000188864,ensembl_GRCm39_latest,Y,-1,28225432,end_of_ATG
ENSMUST00000188864,ensembl_GRCm39_latest,Y,-1,28200895,start_of_STOP
ENSMUST00000185667,ensembl_GRCm39_latest,Y,-1,30692483,end_of_ATG
ENSMUST00000185667,ensembl_GRCm39_latest,Y,-1,30662084,start_of_STOP
ENSMUST00000188358,ensembl_GRCm39_latest,Y,1,2935743,end_of_ATG
ENSMUST00000188358,ensembl_GRCm39_latest,Y,1,2939414,start_of_STOP
ENSMUST00000189592,ensembl_GRCm39_latest,Y,-1,3303464,end_of_ATG
